,0,1
0,42.5,no rain
1,42.4,no rain
2,42.2,no rain
3,47.8,no rain
4,46.0,no rain
5,44.6,no rain
6,43.5,no rain
7,42.9,no rain
8,42.4,no rain
9,42.2,no rain
10,42.0,no rain
11,41.9,no rain
12,41.8,no rain
13,41.7,no rain
14,41.6,no rain
15,41.6,no rain
16,41.5,no rain
17,41.4,no rain
18,41.4,no rain
19,41.4,no rain
20,41.4,no rain
21,41.5,no rain
22,41.6,no rain
23,62.0,rain may fall
24,57.8,no rain
25,52.2,no rain
26,49.2,no rain
27,55.9,no rain
28,62.3,rain may fall
29,61.8,rain may fall
30,56.7,no rain
31,52.3,no rain
32,49.2,no rain
33,73.6,rain may fall
34,88.7,raining
35,82.0,raining
36,74.5,rain may fall
37,65.3,rain may fall
38,57.1,no rain
39,51.2,no rain
40,48.9,no rain
41,52.7,no rain
42,58.1,no rain
43,54.2,no rain
44,50.5,no rain
45,65.4,rain may fall
46,62.1,rain may fall
47,64.4,rain may fall
48,69.0,rain may fall
49,62.2,rain may fall
50,57.3,no rain
51,53.2,no rain
52,50.2,no rain
53,48.4,no rain
54,47.5,no rain
55,46.3,no rain
56,45.1,no rain
57,44.4,no rain
58,43.5,no rain
59,43.1,no rain
60,43.0,no rain
61,43.2,no rain
62,54.6,no rain
63,92.3,raining
64,86.6,raining
65,78.2,rain may fall
66,74.3,rain may fall
67,71.7,rain may fall
68,78.6,rain may fall
69,87.1,raining
70,83.6,raining
71,75.9,rain may fall
72,67.6,rain may fall
73,60.1,rain may fall
74,54.6,no rain
75,51.1,no rain
76,49.2,no rain
77,47.4,no rain
78,46.3,no rain
79,45.5,no rain
80,44.9,no rain
81,44.4,no rain
82,44.1,no rain
83,43.9,no rain
84,43.7,no rain
85,43.6,no rain
86,43.2,no rain
87,43.1,no rain
88,42.9,no rain
89,42.8,no rain
90,42.8,no rain
91,42.6,no rain
92,42.5,no rain
93,42.3,no rain
94,42.3,no rain
95,42.2,no rain
96,42.2,no rain
97,42.2,no rain
98,42.2,no rain
99,42.2,no rain
100,42.3,no rain
101,42.4,no rain
102,42.4,no rain
103,42.4,no rain
104,42.3,no rain
105,42.3,no rain
106,42.3,no rain
107,42.3,no rain
108,42.3,no rain
109,42.3,no rain
110,42.4,no rain
111,42.3,no rain
112,42.3,no rain
113,42.3,no rain
114,42.4,no rain
115,42.4,no rain
116,42.4,no rain
117,42.4,no rain
118,42.4,no rain
119,42.3,no rain
120,42.3,no rain
121,42.3,no rain
122,42.3,no rain
123,42.3,no rain
124,42.2,no rain
125,42.2,no rain
126,42.1,no rain
127,42.0,no rain
128,42.0,no rain
129,41.9,no rain
130,41.9,no rain
131,41.7,no rain
132,41.6,no rain
133,41.5,no rain
134,41.4,no rain
135,41.4,no rain
136,41.3,no rain
137,41.3,no rain
138,41.2,no rain
139,41.2,no rain
140,41.1,no rain
141,41.1,no rain
142,41.1,no rain
143,41.1,no rain
144,41.0,no rain
145,41.0,no rain
146,40.9,no rain
147,40.9,no rain
148,40.9,no rain
149,40.9,no rain
150,40.9,no rain
151,40.9,no rain
152,40.9,no rain
153,40.9,no rain
154,40.8,no rain
155,40.8,no rain
156,40.7,no rain
157,40.6,no rain
158,40.6,no rain
159,40.6,no rain
160,40.5,no rain
161,40.4,no rain
162,40.3,no rain
163,40.3,no rain
164,40.2,no rain
165,40.1,no rain
166,40.1,no rain
167,40.2,no rain
168,40.2,no rain
169,40.2,no rain
170,40.2,no rain
171,40.3,no rain
172,40.3,no rain
173,40.3,no rain
174,40.3,no rain
175,40.3,no rain
176,40.3,no rain
177,40.3,no rain
178,40.3,no rain
179,40.3,no rain
180,40.3,no rain
181,40.3,no rain
182,40.3,no rain
183,40.4,no rain
184,40.4,no rain
185,40.4,no rain
186,40.4,no rain
187,40.4,no rain
188,40.4,no rain
189,40.5,no rain
190,40.5,no rain
191,40.5,no rain
192,40.5,no rain
193,40.5,no rain
194,40.4,no rain
195,40.4,no rain
196,40.4,no rain
197,40.3,no rain
198,40.3,no rain
199,40.3,no rain
200,40.3,no rain
201,40.3,no rain
202,40.3,no rain
203,40.3,no rain
204,40.3,no rain
205,40.2,no rain
206,40.2,no rain
207,40.2,no rain
208,40.1,no rain
209,40.0,no rain
210,40.0,no rain
211,40.0,no rain
212,40.0,no rain
213,40.0,no rain
214,39.9,no rain
215,39.9,no rain
216,39.9,no rain
217,39.9,no rain
218,39.9,no rain
219,39.9,no rain
220,39.8,no rain
221,39.8,no rain
222,39.8,no rain
223,39.8,no rain
224,39.9,no rain
225,39.8,no rain
226,39.8,no rain
227,39.9,no rain
228,39.9,no rain
229,39.9,no rain
230,39.9,no rain
231,39.9,no rain
232,39.9,no rain
233,39.9,no rain
234,39.9,no rain
235,39.9,no rain
236,39.9,no rain
237,39.9,no rain
238,39.9,no rain
239,40.0,no rain
240,39.9,no rain
241,40.0,no rain
242,40.0,no rain
243,40.0,no rain
244,40.0,no rain
245,40.0,no rain
246,40.0,no rain
247,40.1,no rain
248,40.1,no rain
249,40.1,no rain
250,40.1,no rain
251,40.0,no rain
252,40.0,no rain
253,40.0,no rain
254,40.0,no rain
255,40.0,no rain
256,40.0,no rain
257,40.0,no rain
258,40.0,no rain
259,39.9,no rain
260,39.8,no rain
261,39.8,no rain
262,39.8,no rain
263,39.8,no rain
264,39.7,no rain
265,39.7,no rain
266,39.6,no rain
267,39.6,no rain
268,39.5,no rain
269,39.5,no rain
270,39.4,no rain
271,39.4,no rain
272,39.4,no rain
273,39.4,no rain
274,39.4,no rain
275,39.3,no rain
276,39.4,no rain
277,39.3,no rain
278,39.4,no rain
279,39.3,no rain
280,39.3,no rain
281,39.3,no rain
282,39.3,no rain
283,39.3,no rain
284,39.3,no rain
285,39.2,no rain
286,39.1,no rain
287,39.1,no rain
288,39.1,no rain
289,39.1,no rain
290,39.0,no rain
291,38.8,no rain
292,38.8,no rain
293,38.8,no rain
294,38.7,no rain
295,38.7,no rain
296,38.6,no rain
297,38.6,no rain
298,38.6,no rain
299,38.5,no rain
300,38.5,no rain
301,38.5,no rain
302,38.5,no rain
303,38.4,no rain
304,38.4,no rain
305,38.4,no rain
306,38.4,no rain
307,38.3,no rain
308,38.3,no rain
309,38.3,no rain
310,38.3,no rain
311,38.3,no rain
312,38.3,no rain
313,38.3,no rain
314,38.4,no rain
315,38.5,no rain
316,38.5,no rain
317,38.5,no rain
318,38.5,no rain
319,38.4,no rain
320,38.4,no rain
321,38.5,no rain
322,38.5,no rain
323,38.4,no rain
324,38.4,no rain
325,38.4,no rain
326,38.4,no rain
327,38.4,no rain
328,38.4,no rain
329,38.4,no rain
330,38.4,no rain
331,38.4,no rain
332,38.4,no rain
333,38.4,no rain
334,38.4,no rain
335,38.4,no rain
336,38.4,no rain
337,38.4,no rain
338,38.4,no rain
339,38.4,no rain
340,38.3,no rain
341,38.4,no rain
342,38.3,no rain
343,38.3,no rain
344,38.3,no rain
345,38.3,no rain
346,38.3,no rain
347,38.3,no rain
348,38.3,no rain
349,38.3,no rain
350,38.2,no rain
351,38.2,no rain
352,38.2,no rain
353,38.2,no rain
354,38.2,no rain
355,38.2,no rain
356,38.2,no rain
357,38.2,no rain
358,38.5,no rain
359,39.6,no rain
360,39.4,no rain
361,39.0,no rain
362,38.7,no rain
363,38.6,no rain
364,38.5,no rain
365,38.5,no rain
366,38.5,no rain
367,38.5,no rain
368,38.5,no rain
369,38.5,no rain
370,38.5,no rain
371,38.6,no rain
372,38.6,no rain
373,38.6,no rain
374,38.6,no rain
375,38.6,no rain
376,38.6,no rain
377,38.6,no rain
378,38.6,no rain
379,38.6,no rain
380,38.6,no rain
381,38.6,no rain
382,38.6,no rain
383,38.6,no rain
384,38.6,no rain
385,38.6,no rain
386,38.6,no rain
387,38.6,no rain
388,38.5,no rain
389,38.5,no rain
390,38.5,no rain
391,38.5,no rain
392,38.5,no rain
393,38.5,no rain
394,38.5,no rain
395,38.5,no rain
396,38.5,no rain
397,38.5,no rain
398,38.5,no rain
399,38.5,no rain
400,38.5,no rain
401,38.5,no rain
402,38.5,no rain
403,38.5,no rain
404,38.5,no rain
405,38.5,no rain
406,38.5,no rain
407,38.5,no rain
408,38.5,no rain
409,38.5,no rain
410,38.5,no rain
411,38.5,no rain
412,38.5,no rain
413,38.5,no rain
414,38.5,no rain
415,38.5,no rain
416,38.5,no rain
417,38.5,no rain
418,38.5,no rain
419,38.5,no rain
420,38.5,no rain
421,38.5,no rain
422,38.5,no rain
423,38.6,no rain
424,38.6,no rain
425,38.6,no rain
426,38.6,no rain
427,38.7,no rain
428,38.7,no rain
429,38.7,no rain
430,38.7,no rain
431,38.8,no rain
432,38.8,no rain
433,38.8,no rain
434,38.8,no rain
435,38.9,no rain
436,38.9,no rain
437,38.9,no rain
438,38.9,no rain
439,39.0,no rain
440,39.0,no rain
441,39.0,no rain
442,39.1,no rain
443,39.1,no rain
444,39.1,no rain
445,39.2,no rain
446,39.2,no rain
447,39.2,no rain
448,39.3,no rain
449,39.3,no rain
450,39.3,no rain
451,39.3,no rain
452,39.4,no rain
453,39.4,no rain
454,39.4,no rain
455,39.4,no rain
456,39.4,no rain
457,39.5,no rain
458,39.5,no rain
459,39.5,no rain
460,39.5,no rain
461,39.6,no rain
462,39.7,no rain
463,39.7,no rain
464,39.7,no rain
465,39.7,no rain
466,39.7,no rain
467,39.7,no rain
468,39.8,no rain
469,39.8,no rain
470,39.8,no rain
471,39.8,no rain
472,39.8,no rain
473,39.8,no rain
474,39.9,no rain
475,39.9,no rain
476,39.9,no rain
477,39.9,no rain
478,39.9,no rain
479,40.0,no rain
480,40.0,no rain
481,40.0,no rain
482,40.0,no rain
483,40.0,no rain
484,40.0,no rain
485,40.1,no rain
486,40.1,no rain
487,40.1,no rain
488,40.1,no rain
489,40.1,no rain
490,40.1,no rain
491,40.2,no rain
492,40.2,no rain
493,40.2,no rain
494,40.2,no rain
495,40.2,no rain
496,40.3,no rain
497,40.3,no rain
498,40.3,no rain
499,40.3,no rain
500,40.3,no rain
501,40.3,no rain
502,40.3,no rain
503,40.4,no rain
504,40.4,no rain
505,40.4,no rain
506,40.4,no rain
507,40.4,no rain
508,40.4,no rain
509,40.5,no rain
510,40.5,no rain
511,40.5,no rain
512,40.5,no rain
513,40.5,no rain
514,40.6,no rain
515,40.6,no rain
516,40.6,no rain
517,40.7,no rain
518,40.7,no rain
519,40.7,no rain
520,40.7,no rain
521,40.7,no rain
522,40.8,no rain
523,40.8,no rain
524,40.8,no rain
525,40.8,no rain
526,40.8,no rain
527,40.9,no rain
528,40.9,no rain
529,40.9,no rain
